Eruotive Center,Sample,Class,Class 2,Elongation 2D,Form Factor 2D,Aspect Ratio 2D,Compactness 2D,Rectangularity 2D,Roundness 2D,Curvature 2D,Circularity 2D,Elongation 3D,Form Factor 3D,Aspect Ratio 3D,Compactness 3D,Rectangularity 3D,Roundness 3D,Curvature 3D,Circularity 3D,Wilson-Huang Factor,DellinoLaVolpe Factor,Krumbein intercept sphericity,Corey Shape Factor,Aschenbrenner working sphericity
Tocomar,N5,Fall,Proximal,1.954208911,0.319494089,0.901960784,0.567337323,1.179387362,0.651537068,0.700264079,0.565238082,0.006035015,0.040070291,0.030178046,0.151307123,0.536381382,316.4630772,0.002521543,0.11709769,0.465329757,0.066188074,0.295812675,0.030218218,0.134133438
Tocomar,N5,Fall,Proximal,2.040726017,0.834728957,0.691358025,0.708781365,0.802923738,0.623914986,1.15667149,0.913635024,0.000760855,0.052204164,0.018187247,0.449718122,0.684936287,2510.150281,0.000756259,0.139680816,0.353369299,0.127617286,0.219899974,0.01849784,0.089857367
Tocomar,N5,Fall,Proximal,2.482466439,0.569620668,0.521327014,0.772691944,0.979755696,0.512892954,1.053851706,0.754732183,0.001510138,0.053181237,0.023193145,0.395346306,0.737557828,1264.692207,0.001209249,0.141418304,0.269484597,0.106732945,0.209517748,0.024434143,0.098030491
Tocomar,N5,Fall,Proximal,3.015508373,0.536729693,0.550161812,0.602766378,0.898751901,0.422230479,1.127464876,0.732618382,0.001278887,0.026771104,0.01552692,0.205845818,0.583911393,1493.376028,0.000684959,0.08949062,0.281098216,0.065562473,0.187776366,0.01622509,0.07619976
Tocomar,N5,Fall,Proximal,2.798773069,0.390534748,0.581395349,0.614555006,1.072064204,0.454927753,0.926528163,0.624927794,0.002727733,0.038958693,0.023063099,0.209692483,0.587322723,700.1636013,0.001457482,0.114921933,0.299815644,0.07181791,0.219684742,0.02391621,0.100572905
Tocomar,N5,Fall,Proximal,3.378812705,0.342885365,0.497005988,0.595489709,1.100005521,0.37683046,0.953896982,0.585564143,0.003208691,0.03502352,0.022591843,0.179308531,0.568437114,595.2145452,0.001512832,0.107046677,0.256958025,0.062682696,0.203314776,0.023986363,0.095085702
Tocomar,N5,Fall,Proximal,2.45873887,0.539902524,0.744245524,0.546476337,0.881969236,0.517842525,1.021077774,0.734780596,0.001935042,0.019138689,0.015686882,0.129963634,0.530304209,986.9858926,0.000721773,0.07154975,0.378963206,0.052573368,0.216742209,0.015858282,0.082968935
Tocomar,N5,Fall,Proximal,2.654551691,0.451079126,0.652694611,0.577163405,0.980077383,0.479643907,0.969765878,0.671624245,0.001983144,0.038169146,0.020226045,0.215815681,0.554853993,963.0464542,0.001162457,0.113363947,0.334704174,0.076137975,0.221782804,0.020688003,0.095016924
Tocomar,N3,Fall,Proximal,2.950361532,0.326105673,0.680851064,0.497820346,1.075050603,0.431553737,0.869284101,0.571056629,0.002060087,0.031479022,0.017913042,0.16158439,0.480787297,927.0768887,0.001048585,0.099696709,0.347952821,0.056932467,0.217223546,0.018244943,0.088609242
Tocomar,N3,Fall,Proximal,3.103128402,0.430887883,0.575289575,0.560162136,0.973044099,0.410308366,1.024771302,0.656420508,0.005707793,0.037225235,0.027678933,0.144745397,0.529429614,334.6055644,0.002313145,0.111487189,0.298545371,0.073182477,0.232338982,0.028743291,0.113188509
Tocomar,N3,Fall,Proximal,2.610140561,0.451161433,0.605555556,0.632677095,1.017306144,0.487804973,0.96170721,0.671685516,0.00079597,0.047343381,0.016636401,0.370048744,0.611965144,2399.412305,0.000730191,0.130869823,0.309455444,0.087903365,0.200725663,0.017162388,0.081838823
Tocomar,N3,Fall,Proximal,4.335478121,0.381973303,0.363354037,0.634794289,1.01025564,0.293679154,1.140459704,0.618039887,0.005744946,0.048888318,0.029711229,0.196509084,0.591542,332.4416749,0.002786077,0.133701638,0.19180375,0.082632945,0.194510516,0.033599613,0.104357753
Tocomar,N3,Fall,Proximal,3.766092101,0.305836596,0.420454545,0.63152422,1.162672502,0.338079768,0.951119608,0.553024951,0.00520038,0.032560932,0.025851798,0.154177887,0.596421843,367.2538321,0.001988323,0.101968153,0.219407599,0.056390933,0.197637362,0.028315782,0.099232831
Tocomar,N3,Fall,Proximal,2.499264947,0.50924298,0.729357798,0.54858897,0.908492623,0.509445606,0.999801111,0.713612626,0.003235147,0.058996097,0.02712687,0.233170978,0.521240936,590.3470488,0.002153495,0.151547527,0.376406915,0.108146229,0.257670714,0.027465293,0.118747879
Tocomar,N3,Fall,Proximal,2.02627167,0.355771295,0.732718894,0.673542395,1.204793281,0.628365665,0.752452742,0.59646567,0.002319773,0.040380494,0.023721049,0.248474056,0.644406725,823.2956029,0.001339915,0.117701252,0.376634925,0.070204756,0.246939066,0.024008405,0.108764917
Tocomar,N3,Fall,Proximal,3.404755475,0.5280935,0.376391982,0.780321745,0.960360807,0.373959174,1.188347112,0.72670042,0.001442988,0.031965689,0.018183772,0.288329567,0.747955249,1323.544887,0.000835533,0.100721623,0.194452991,0.073194446,0.167627588,0.020397453,0.076118242
Tocomar,N3,Fall,Proximal,2.312497518,0.526523451,0.667664671,0.647679764,0.963200525,0.550590664,0.977899981,0.725619357,0.003686017,0.031983747,0.024894026,0.175078191,0.617020759,518.1363882,0.001561913,0.100759553,0.344211057,0.073113082,0.240202443,0.025403565,0.109692681
Tocomar,N3,Fall,Proximal,2.888770343,0.46167081,0.577319588,0.599612517,0.973044099,0.440754852,1.02345242,0.679463619,0.003360555,0.036316509,0.023829863,0.182051863,0.571879012,568.3165572,0.001598365,0.109665342,0.298056621,0.07451361,0.221382105,0.024734498,0.102586911
Tocomar,N3,Fall,Proximal,2.90175282,0.33815819,0.575250836,0.599076558,1.135886805,0.438782909,0.877879896,0.581513706,0.013369295,0.052995408,0.042886062,0.148356316,0.552353607,142.8541584,0.005162938,0.141088676,0.304514494,0.082044999,0.268842372,0.044535596,0.151213339
Tocomar,N3,Fall,Proximal,1.902955287,0.513265361,0.82295082,0.638553859,0.983817887,0.669085371,0.87585096,0.716425405,0.003086421,0.085504677,0.032919904,0.354468822,0.602897236,618.794267,0.002672775,0.194085571,0.426478251,0.139047833,0.291200733,0.033076273,0.139040659
Tocomar,N3,Fall,Proximal,2.848000577,0.341973754,0.648,0.541857291,1.089811295,0.447064356,0.87460381,0.58478522,0.004188443,0.04218326,0.025985035,0.168917037,0.51525699,455.9831663,0.002045475,0.121178831,0.334705834,0.070863589,0.240293399,0.026598859,0.111992228
Tocomar,N3,Fall,Proximal,1.808237867,0.555624841,0.987804878,0.559852051,0.889575017,0.704132774,0.888307947,0.745402469,0.008537652,0.030833002,0.030874652,0.111655998,0.528545265,223.6984293,0.002668304,0.098328001,0.509245635,0.073293935,0.311797288,0.030875233,0.139023084
Tocomar,N3,Fall,Proximal,1.916954814,0.289639963,0.82295082,0.633890498,1.304862664,0.664199039,0.660359029,0.538182091,0.002180077,0.028938981,0.020319398,0.191190309,0.610886195,876.0512834,0.001029522,0.094258854,0.420735726,0.050728427,0.247938077,0.020415916,0.10097804
Tocomar,N3,Fall,Proximal,4.512458488,0.234722064,0.380246914,0.582802066,1.247770126,0.282160944,0.912070709,0.484481232,0.002996,0.017678961,0.0164835,0.113591248,0.560319688,637.4696272,0.000916217,0.067863745,0.195811282,0.032878711,0.162934846,0.018447749,0.071522008
Tocomar,N3,Fall,Proximal,1.760319094,0.528492107,0.912371134,0.622640067,0.960921265,0.723300423,0.854790906,0.726974626,0.003817087,0.075433171,0.033545946,0.295434284,0.585946798,500.3447434,0.002832666,0.178528783,0.472223642,0.129785895,0.308165907,0.03358122,0.144245492
Tocomar,N3,Fall,Proximal,2.099018626,0.475390306,0.795454545,0.598919343,0.988250891,0.606588016,0.885275097,0.689485537,0.002665093,0.042243086,0.023901889,0.217182849,0.572540579,716.6201163,0.001514646,0.121293377,0.408455961,0.083630029,0.257472392,0.024058523,0.111548036
Tocomar,N3,Fall,Proximal,2.674810749,0.44805694,0.615384615,0.607519616,1.002272604,0.476011077,0.970192862,0.669370555,0.002420856,0.044086376,0.023133937,0.234355671,0.581193529,788.9191102,0.001461665,0.124796652,0.317034859,0.083535204,0.225708222,0.023818926,0.102299779
Tocomar,N3,Fall,Proximal,2.642477449,0.524337567,0.578034682,0.654688652,0.954217243,0.481835539,1.043172364,0.724111571,0.006453063,0.0596426,0.036518193,0.222572677,0.608497313,295.9616709,0.003437273,0.152652661,0.303424085,0.110537558,0.255377859,0.037898226,0.136154657
Tocomar,N3,Fall,Proximal,1.935708358,0.485616923,0.88125,0.586220423,0.971765674,0.657764141,0.859234704,0.696862198,0.003330767,0.077372025,0.031335754,0.295985149,0.553793699,573.399236,0.00263078,0.181574968,0.455362597,0.126532731,0.296154678,0.031398369,0.136776416
Tocomar,N3,Fall,Proximal,2.06660979,0.456973848,0.748987854,0.64605091,1.042829308,0.616100606,0.8612314,0.675998408,0.003961236,0.048258572,0.029497506,0.224273896,0.610554371,482.1372545,0.00215577,0.13255099,0.387391622,0.089604258,0.26833189,0.029806069,0.126358376
Tocomar,N3,Fall,Proximal,2.554968316,0.47293384,0.597633136,0.654907271,1.009264325,0.498338683,0.974177053,0.687701854,0.002330968,0.027517212,0.020175115,0.186446865,0.628732937,819.3415584,0.001040941,0.091145721,0.306874676,0.062681081,0.21276454,0.020847104,0.092701169
Tocomar,N3,Fall,Proximal,2.930055978,0.32327813,0.734615385,0.464583801,1.049894404,0.434544444,0.862523749,0.568575527,0.007619591,0.072205171,0.035575323,0.170079681,0.435007572,250.6511647,0.0043618,0.173398579,0.382735068,0.098590189,0.283004945,0.035999133,0.142352227
Tocomar,N3,Fall,Proximal,2.758515833,0.542321213,0.595930233,0.608315805,0.908019129,0.461566879,1.083954312,0.736424615,0.004738723,0.048433042,0.029748185,0.199540934,0.573471753,403.0324738,0.002435199,0.132870273,0.309834123,0.09784894,0.241850282,0.03075011,0.11984165
Tocomar,N3,Fall,Proximal,1.679398355,0.535117731,0.793939394,0.749995962,1.04223496,0.758152193,0.840129962,0.731517417,0.001877214,0.040553948,0.023465621,0.297247762,0.717040165,1017.390505,0.001166891,0.118038068,0.407493672,0.086346902,0.25566173,0.023621972,0.110142196
Tocomar,N3,Fall,Proximal,2.894670514,0.403725478,0.552147239,0.625670902,1.056329412,0.439856467,0.958048704,0.635393955,0.001765756,0.062339463,0.023398155,0.338207763,0.598160084,1081.610222,0.001492089,0.157220331,0.285152965,0.099896848,0.215631968,0.024437517,0.100148803
Tocomar,N3,Fall,Proximal,1.582032086,0.445839178,0.930232558,0.679505814,1.093373494,0.804812719,0.744289169,0.667711897,0.031702153,0.187001946,0.096706333,0.295385262,0.579107354,60.24383683,0.021279218,0.327012297,0.511782707,0.218350001,0.442801106,0.096769565,0.289959155
Tocomar,N3,Fall,Proximal,1.868781247,0.44045472,0.841059603,0.636230902,1.061151079,0.681320805,0.80403473,0.663667627,0.023615164,0.143429324,0.077251075,0.25460506,0.557778663,80.874278,0.014651599,0.274005092,0.456085759,0.181848309,0.391071696,0.077540571,0.244900915
Tocomar,N3,Fall,Proximal,2.263715111,0.353230503,0.773809524,0.570879121,1.117449664,0.562455734,0.792473823,0.59433198,0.058370512,0.274623283,0.123123338,0.264001966,0.468756639,32.71959159,0.041300279,0.422498239,0.441504099,0.251104215,0.438817372,0.124136739,0.324260612
Tocomar,N3,Fall,Proximal,2.351232692,0.31377645,0.745762712,0.570300462,1.182038835,0.541520007,0.761207255,0.560157522,0.011894247,0.097331347,0.050675618,0.220582438,0.521408288,160.5700071,0.007162405,0.211593257,0.394998257,0.118525555,0.320714291,0.051221694,0.180458962
Tocomar,N3,Fall,Proximal,2.975235849,0.334818936,0.563218391,0.596762843,1.136029412,0.427945753,0.884526087,0.578635409,0.025678788,0.159189298,0.076889235,0.249723288,0.519794965,74.37497771,0.016608281,0.293726126,0.311657862,0.169960337,0.323477449,0.080078658,0.22062583
Tocomar,N3,Fall,Proximal,2.931341822,0.359987105,0.612716763,0.556767368,1.069892473,0.434353829,0.910377771,0.599989254,0.025527124,0.100800021,0.064175959,0.171214005,0.495331838,74.81686116,0.012198528,0.216591005,0.332232793,0.129952275,0.316509496,0.066110523,0.200446592
Tocomar,N3,Fall,Proximal,2.34017719,0.204520866,0.821705426,0.520038028,1.406382979,0.544078265,0.61310961,0.452239833,0.013531155,0.143642908,0.058220805,0.252930787,0.475449191,141.1453268,0.010117622,0.274277043,0.437368002,0.124039004,0.351895872,0.058501673,0.202423206
Tocomar,N3,Fall,Proximal,2.197463318,0.525799961,0.691489362,0.658101473,0.974842767,0.579413333,0.952611966,0.725120653,0.024510801,0.236474538,0.093270944,0.367137113,0.565265443,77.91909083,0.020961724,0.382404438,0.385186383,0.277289355,0.379248364,0.094862135,0.263841156
Tocomar,N3,Fall,Proximal,2.706764717,0.154297724,0.643382353,0.574222689,1.668903803,0.470391659,0.572730028,0.392807489,0.010994619,0.04893881,0.038911563,0.144519112,0.536919923,173.7085565,0.004297555,0.133793681,0.33767782,0.05255516,0.274001,0.039861416,0.146037149
Tocomar,N3,Fall,Proximal,2.000657678,0.20571774,0.884615385,0.565031587,1.465986395,0.636410496,0.56854809,0.453561175,0.054845531,0.225768909,0.113333544,0.235075128,0.474500398,34.822515,0.034769838,0.370774129,0.495705227,0.16816875,0.455444258,0.113546555,0.317399466
Tocomar,N3,Fall,Proximal,2.088809947,0.265972014,0.785714286,0.609307359,1.331666667,0.609552605,0.660560157,0.515724746,0.018312473,0.142081915,0.069147211,0.264912011,0.543776899,104.2928136,0.012289181,0.272286349,0.423726434,0.140424808,0.364703921,0.069650513,0.224129337
Tocomar,N3,Fall,Proximal,2.777614679,0.159052467,0.735632184,0.489403736,1.536423841,0.458393151,0.589048623,0.398813825,0.018886622,0.1657502,0.065829587,0.234899804,0.441744766,101.1223376,0.013901809,0.301742191,0.396380079,0.120338957,0.347672107,0.066606784,0.213551984
Tocomar,N3,Fall,Proximal,3.413516133,0.11585657,0.547770701,0.534809658,1.820987654,0.372999422,0.557322087,0.3403771,0.010733522,0.067279048,0.040644379,0.168272513,0.498290998,177.9340737,0.005228942,0.165419445,0.289612395,0.056304991,0.25828071,0.042498903,0.14404716
Tocomar,N3,Fall,Proximal,3.217771304,0.157550103,0.85106383,0.365159574,1.344827586,0.395689881,0.631003653,0.396925815,0.016843654,0.042187177,0.034703803,0.071967847,0.34405209,113.3874735,0.005173013,0.121186333,0.441591654,0.048101984,0.301238309,0.034816684,0.145138583
